No.,カテゴリ,問い合わせ（患者）,〇（正解）,△（惜しい）,△（惜しい）,×（不正解）
40,事務・会計,保険証が新しく変わりました。,新しい保険証情報を登録いたします。,次回ご来院時に確認します。,診察室で医師にお見せください。,月が変わるまで変更できません。
41,その他,陰部をぶつけてしまいました。,その場合も検尿をお願いしています。,打撲の場合は検尿不要です。,出血がなければ検尿不要です。,外科的な処置のみ行います。
42,その他,頻尿の症状があります。,検尿を行いますので準備をお願いします。,問診のみで診断します。,残尿エコーのみ行います。,まずは水分摂取記録をつけます。
43,その他,血尿が出ているようです。,血尿の方は必ず検尿を行います。,目視で確認するため検尿は不要です。,血が止まってから検尿します。,まずは止血剤を処方します。
44,その他,性病の検査結果を電話で聞けますか？,結果は来院して聞いていただきます。,ご本人様なら電話でお伝えします。,ID番号が分かればお伝えします。,陽性の場合のみ電話連絡します。
45,その他,検査結果はいつ頃わかりますか？,基本的には1週間後となります。,3日後には結果が出ます。,翌日午後には結果が出ます。,お電話で確認してください。
46,その他,子供にお菓子をあげてもいいですか？,会計時にラムネ等をお渡ししています。,院内での飲食は禁止です。,待合室ではご遠慮ください。,アレルギー確認後に許可します。
47,その他,Web問診はありますか？,Web問診または手書きで記入可能です。,問診は全て手書きのみです。,受付での口頭確認のみです。,初診のみWeb問診必須です。
48,その他,男性更年期障害の相談です。,その症状での検尿は不要です。,ホルモン値測定のため検尿が必要です。,初診セットとして検尿が必要です。,年齢に関わらず全員検尿します。
49,その他,会計はまだですか？,会計を最優先で処理しております。,診察優先のためお待ちください。,カルテ作成順にお呼びしています。,計算センターの処理待ちです。
50,その他,検尿が必要か迷うのですが。,迷った場合は検尿をお願いしています。,迷う場合は医師に確認します。,迷う場合は検尿不要とします。,ご自身の判断にお任せします。
